,"Active Status","Type","Item","Description","Sales Tax Code","Purchase Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","U/M","U/M Set","Cost","Preferred Vendor","Tax Agency","Price","Gross Price","Amounts Include Tax","Reorder Pt (Min)","Manu. Part No.","Purchased for Resale","Sales Tax Return Line","Price L1","Price L2","AZ","Note","itemname"
,"Active","Inventory Part","Processors:INTEL:i7-10700F","Intel CPU BX8070110700F Ci7-10700F Box 16M Cache 2.9GHz 8C 16T S1200","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel CPU BX8070110700F Ci7-10700F Box 16M Cache 2.9GHz 8C 16T S1200",3,"each (ea)","Count in each",384.87,,,0.00,0,"No","","BX8070110700F","No",,"385/0121","386",,,"i7-10700F"
,"Active","Inventory Part","Processors:INTEL:CM8068403653917","Intel CPU CM8068403653917 Xeon E-2104G 8M Cache 3.20GHz 4C 4T S1151 Tray","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel CPU CM8068403653917 Xeon E-2104G 8M Cache 3.20GHz 4C 4T S1151 Tray",2,"each (ea)","Count in each",236.50,,,0.00,0,"No","","CM8068403653917","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:E-2104G","Intel Xeon E-2104G 8M Cache 3.20GHz 4C 4T S1151 Tray Bare","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon E-2104G 8M Cache 3.20GHz 4C 4T S1151 Tray Bare",-2,"each (ea)","Count in each",240.00,,,0.00,0,"No","","	CM8068403653917","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i5-10600KF","Intel Core i5-10600KF 4.1G 12M Cache 6 Core LGA1200","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i5-10600KF 4.1G 12M Cache 6 Core LGA1200",0,"each (ea)","Count in each",286.00,,,0.00,0,"No","","BX8070110600KF","No",,"293/0105","294",,,"i5-10600KF"
,"Active","Inventory Part","Processors:INTEL:4216","Intel CPU BX806954216 Xeon Silver 4216 16Cores/32Threads 2.1GHz 22M FC-LGA14B Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel CPU BX806954216 Xeon Silver 4216 16Cores/32Threads 2.1GHz 22M FC-LGA14B Retail",0,"each (ea)","Count in each",0.00,,,0.00,0,"No",""," BX806954216","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:BX80684E2224G","Intel Xeon E-2224G Quad-core (4 Core) 3.50 GHz Processor - 8 MB Cache - 4.70 GHz Overclocking Sp...","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon E-2224G Quad-core (4 Core) 3.50 GHz Processor - 8 MB Cache - 4.70 GHz Overclocking Sp...",0,"each (ea)","Count in each",274.00,,,299.00,337.87,"No","","BX80684E2224G","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i5-10600 (Open Box)","Open Box Intel core i5-10600 3.3G LGA1200 65W 6-cores Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Open Box Intel core i5-10600 3.3G LGA1200 65W 6-cores Retail",1,"each (ea)","Count in each",245.00,,,0.00,0,"No","","OB BX8070110600","No",,"295/1222","296",,,
,"Active","Inventory Part","Processors:INTEL:5222","Intel Xeon Gold 5222 - 3.8G/16.5M 4 cores FCLGA3647","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon Gold 5222 - 3.8G/16.5M 4 cores FCLGA3647",0,"each (ea)","Count in each",1600.94,,,0.00,0,"No","","UCS-CPU-I5222","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i3-10300","Intel Core i3-10300 4-cores 3.7GHz LGA 1200 65W","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i3-10300 4-cores 3.7GHz LGA 1200 65W",9,"each (ea)","Count in each",164.99,,,0.00,0,"No","","BX8070110300","No",,"179/0105","180",,,"i3-10300"
,"Active","Inventory Part","Processors:INTEL:G6400","Intel Pentium Gold G6400 4.0G 2 cores LGA1200 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Pentium Gold G6400 4.0G 2 cores LGA1200 Retail",2,"each (ea)","Count in each",66.13,,,0.00,0,"No","","BX80701G6400","No",,"88/1120","89",,,
